Date,Ticker,Metric,Value
2020-01-01,INFY.NS,Close,646.5186767578125
2020-01-02,INFY.NS,Close,644.6323852539062
2020-01-03,INFY.NS,Close,654.547119140625
2020-01-06,INFY.NS,Close,648.2735595703125
2020-01-07,INFY.NS,Close,638.6658325195312
2020-01-08,INFY.NS,Close,630.155029296875
2020-01-09,INFY.NS,Close,638.3587646484375
2020-01-10,INFY.NS,Close,647.6593627929688
2020-01-13,INFY.NS,Close,678.7196655273438
2020-01-14,INFY.NS,Close,680.5623168945312
2020-01-15,INFY.NS,Close,673.4551391601562
2020-01-16,INFY.NS,Close,672.97265625
2020-01-17,INFY.NS,Close,673.7184448242188
2020-01-20,INFY.NS,Close,674.2449340820312
2020-01-21,INFY.NS,Close,669.0243530273438
2020-01-22,INFY.NS,Close,675.7802734375
2020-01-23,INFY.NS,Close,688.1957397460938
2020-01-24,INFY.NS,Close,686.7918090820312
2020-01-27,INFY.NS,Close,682.7119140625
2020-01-28,INFY.NS,Close,682.6242065429688
2020-01-29,INFY.NS,Close,692.8897705078125
2020-01-30,INFY.NS,Close,684.9931030273438
2020-01-31,INFY.NS,Close,680.8255615234375
2020-02-03,INFY.NS,Close,673.3235473632812
2020-02-04,INFY.NS,Close,691.2666015625
2020-02-05,INFY.NS,Close,688.3711547851562
2020-02-06,INFY.NS,Close,676.7893676757812
2020-02-07,INFY.NS,Close,682.0099487304688
2020-02-10,INFY.NS,Close,678.4126586914062
2020-02-11,INFY.NS,Close,678.7196655273438
2020-02-12,INFY.NS,Close,685.3002319335938
2020-02-13,INFY.NS,Close,695.1272583007812
2020-02-14,INFY.NS,Close,690.038330078125
2020-02-17,INFY.NS,Close,692.67041015625
2020-02-18,INFY.NS,Close,699.8651733398438
2020-02-19,INFY.NS,Close,702.3218994140625
2020-02-20,INFY.NS,Close,699.294921875
2020-02-24,INFY.NS,Close,698.2858276367188
2020-02-25,INFY.NS,Close,700.5233154296875
2020-02-26,INFY.NS,Close,686.7918090820312
2020-02-27,INFY.NS,Close,682.4925537109375
2020-02-28,INFY.NS,Close,642.0
2020-03-02,INFY.NS,Close,650.2039794921875
2020-03-03,INFY.NS,Close,655.4244995117188
2020-03-04,INFY.NS,Close,665.7340698242188
2020-03-05,INFY.NS,Close,662.0928344726562
2020-03-06,INFY.NS,Close,648.3612670898438
2020-03-09,INFY.NS,Close,618.0907592773438
2020-03-11,INFY.NS,Close,601.9026489257812
2020-03-12,INFY.NS,Close,553.8204956054688
2020-03-13,INFY.NS,Close,563.6036987304688
2020-03-16,INFY.NS,Close,511.6610107421875
2020-03-17,INFY.NS,Close,486.91802978515625
2020-03-18,INFY.NS,Close,468.7996520996094
2020-03-19,INFY.NS,Close,478.67041015625
2020-03-20,INFY.NS,Close,513.4596557617188
2020-03-23,INFY.NS,Close,461.91192626953125
2020-03-24,INFY.NS,Close,517.4957275390625
2020-03-25,INFY.NS,Close,531.8853759765625
2020-03-26,INFY.NS,Close,564.1739501953125
2020-03-27,INFY.NS,Close,572.6848754882812
2020-03-30,INFY.NS,Close,549.8720703125
